##  See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
#assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	asm_submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date	assembly_type	group	genome_size	genome_size_ungapped	gc_percent	replicon_count	scaffold_count	contig_count	annotation_provider	annotation_name	annotation_date	total_gene_count	protein_coding_gene_count	non_coding_gene_count	pubmed_id
GCA_965140135.1	PRJEB85433	SAMEA117660481	CBCSIL000000000.1	na	46256	46256	Weissella hellenica	strain=type strain: CIP109879	CIP109879T	latest	Scaffold	Major	Full	2025-02-13	CIP109879T	Collection de l'Institut Pasteur	GCF_965140135.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/140/135/GCA_965140135.1_CIP109879T	na	na	na	haploid	bacteria	1815893	1815744	37.000000	0	34	34	Collection de l'Institut Pasteur	Annotation submitted by Collection de l'Institut Pasteur	2025-02-12	1817	1734	79	na
GCA_965138615.1	PRJEB85433	SAMEA117660703	CBCSGQ000000000.1	na	47883	47883	Pseudomonas synxantha	strain=type strain: CIP59.22	CIP59.22T	latest	Scaffold	Major	Full	2025-02-13	CIP59.22T	Collection de l'Institut Pasteur	GCF_965138615.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/138/615/GCA_965138615.1_CIP59.22T	na	assembly from type material	na	haploid	bacteria	6774905	6774512	59.500000	0	126	126	Collection de l'Institut Pasteur	Annotation submitted by Collection de l'Institut Pasteur	2025-02-12	6285	6138	132	na
GCA_965136275.1	PRJEB85433	SAMEA117660314	CBCRVP000000000.1	na	50718	50718	Vibrio mytili	strain=type strain: CIP103929	CIP103929T	latest	Scaffold	Major	Full	2025-02-12	CIP103929T	Collection de l'Institut Pasteur	GCF_965136275.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/136/275/GCA_965136275.1_CIP103929T	na	assembly from type material	na	haploid	bacteria	4619752	4619398	44.500000	0	78	78	Collection de l'Institut Pasteur	Annotation submitted by Collection de l'Institut Pasteur	2025-02-11	4266	4140	126	na
GCA_965135855.1	PRJEB85433	SAMEA117660286	CBCRWE000000000.1	na	52774	52774	Actinomyces slackii	strain=type strain: CIP103130	CIP103130T	latest	Scaffold	Major	Full	2025-02-12	CIP103130T	Collection de l'Institut Pasteur	GCF_965135855.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/135/855/GCA_965135855.1_CIP103130T	na	assembly from type material	na	haploid	bacteria	3156333	3155850	70.000000	0	172	172	Collection de l'Institut Pasteur	Annotation submitted by Collection de l'Institut Pasteur	2025-02-11	2622	2559	60	na
GCA_965138075.1	PRJEB85433	SAMEA117660736	CBCSBZ000000000.1	na	54736	54736	Salmonella bongori	strain=type strain: CIP82.33	CIP82.33T	latest	Scaffold	Major	Full	2025-02-13	CIP82.33T	Collection de l'Institut Pasteur	GCF_965138075.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/138/075/GCA_965138075.1_CIP82.33T	na	assembly from type material	na	haploid	bacteria	4407928	4407916	51.500000	0	71	71	Collection de l'Institut Pasteur	Annotation submitted by Collection de l'Institut Pasteur	2025-02-12	4207	4006	193	na
GCA_965138475.1	PRJEB85433	SAMEA117660454	CBCSCZ000000000.1	na	56119	56119	Castellaniella denitrificans	strain=type strain: CIP109221	CIP109221T	latest	Scaffold	Major	Full	2025-02-13	CIP109221T	Collection de l'Institut Pasteur	GCF_965138475.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/138/475/GCA_965138475.1_CIP109221T	na	na	na	haploid	bacteria	3479453	3479328	68.500000	0	38	38	Collection de l'Institut Pasteur	Annotation submitted by Collection de l'Institut Pasteur	2025-02-12	3243	3186	52	na
GCA_965138065.1	PRJEB85433	SAMEA117660735	CBCSDD000000000.1	na	59203	28901	Salmonella enterica subsp. arizonae	strain=type strain: CIP82.30	CIP82.30T	latest	Contig	Major	Full	2025-02-13	CIP82.30T	Collection de l'Institut Pasteur	GCF_965138065.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/138/065/GCA_965138065.1_CIP82.30T	na	assembly from type material	na	haploid	bacteria	4392300	4392300	51.500000	0	146	146	Collection de l'Institut Pasteur	Annotation submitted by Collection de l'Institut Pasteur	2025-02-12	4302	4103	192	na
GCA_965137855.1	PRJEB85433	SAMEA117660390	CBCSBX000000000.1	na	59843	59843	Paenibacillus glucanolyticus	strain=type strain: CIP106935	CIP106935T	latest	Contig	Major	Full	2025-02-13	CIP106935T	Collection de l'Institut Pasteur	GCF_965137855.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/137/855/GCA_965137855.1_CIP106935T	na	assembly from type material	na	haploid	bacteria	5870941	5870941	49.000000	0	37	37	Collection de l'Institut Pasteur	Annotation submitted by Collection de l'Institut Pasteur	2025-02-12	5450	5358	85	na
GCA_965137385.1	PRJEB85433	SAMEA117660377	CBCRZW000000000.1	na	60217	60217	Shewanella violacea	strain=type strain: CIP106290	CIP106290T	latest	Scaffold	Major	Full	2025-02-12	CIP106290T	Collection de l'Institut Pasteur	GCF_965137385.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/137/385/GCA_965137385.1_CIP106290T	na	assembly from type material	na	haploid	bacteria	4852255	4851888	44.500000	0	49	49	Collection de l'Institut Pasteur	Annotation submitted by Collection de l'Institut Pasteur	2025-02-11	4139	4038	98	na
GCA_965138225.1	PRJEB85433	SAMEA117660385	CBCSAX000000000.1	na	60246	60246	Helicobacter ganmani	strain=type strain: CIP106846	CIP106846T	latest	Scaffold	Major	Full	2025-02-12	CIP106846T	Collection de l'Institut Pasteur	GCF_965138225.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/138/225/GCA_965138225.1_CIP106846T	na	assembly from type material	na	haploid	bacteria	1749998	1749787	37.000000	0	38	38	Collection de l'Institut Pasteur	Annotation submitted by Collection de l'Institut Pasteur	2025-02-11	1771	1712	44	na
GCA_965135655.1	PRJEB85433	SAMEA117660341	CBCRUS000000000.1	na	60478	60478	Shewanella amazonensis	strain=type strain: CIP105786	CIP105786T	latest	Scaffold	Major	Full	2025-02-12	CIP105786T	Collection de l'Institut Pasteur	GCF_965135655.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/135/655/GCA_965135655.1_CIP105786T	na	assembly from type material	na	haploid	bacteria	4258972	4258603	53.500000	0	30	30	Collection de l'Institut Pasteur	Annotation submitted by Collection de l'Institut Pasteur	2025-02-11	3800	3702	95	na
GCA_965139185.1	PRJEB85433	SAMEA117660726	CBCSIS000000000.1	na	61647	61647	Pluralibacter gergoviae	strain=type strain: CIP76.1	CIP76.1T	latest	Scaffold	Major	Full	2025-02-13	CIP76.1T	Collection de l'Institut Pasteur	GCF_965139185.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/139/185/GCA_965139185.1_CIP76.1T	na	assembly from type material	na	haploid	bacteria	5543159	5543053	59.000000	0	94	94	Collection de l'Institut Pasteur	Annotation submitted by Collection de l'Institut Pasteur	2025-02-12	5207	5059	145	na
GCA_965136905.1	PRJEB85433	SAMEA117660381	CBCRYW000000000.1	na	70775	70775	Pseudomonas plecoglossicida	strain=type strain: CIP106493	CIP106493T	latest	Scaffold	Major	Full	2025-02-12	CIP106493T	Collection de l'Institut Pasteur	GCF_965136905.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/136/905/GCA_965136905.1_CIP106493T	na	assembly from type material	na	haploid	bacteria	5351245	5350709	63.000000	0	91	91	Collection de l'Institut Pasteur	Annotation submitted by Collection de l'Institut Pasteur	2025-02-11	4949	4828	112	na
GCA_965136325.1	PRJEB85433	SAMEA117660303	CBCRUC000000000.1	na	74707	1295	Staphylococcus schleiferi subsp. schleiferi	strain=type strain: CIP103643	CIP103643T	latest	Scaffold	Major	Full	2025-02-12	CIP103643T	Collection de l'Institut Pasteur	GCF_965136325.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/136/325/GCA_965136325.1_CIP103643T	na	assembly from type material	na	haploid	bacteria	2466948	2466678	36.000000	0	78	78	Collection de l'Institut Pasteur	Annotation submitted by Collection de l'Institut Pasteur	2025-02-11	2423	2288	130	na
GCA_965136355.1	PRJEB85433	SAMEA117660337	CBCRUY000000000.1	na	77608	77608	Pseudoalteromonas distincta	strain=type strain: CIP105340	CIP105340T	latest	Scaffold	Major	Full	2025-02-12	CIP105340T	Collection de l'Institut Pasteur	GCF_965136355.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/136/355/GCA_965136355.1_CIP105340T	na	assembly from type material	na	haploid	bacteria	4500103	4496228	39.000000	0	50	50	Collection de l'Institut Pasteur	Annotation submitted by Collection de l'Institut Pasteur	2025-02-11	4139	4008	107	na
GCA_965137865.1	PRJEB85433	SAMEA117660393	CBCSGC000000000.1	na	78229	78229	Paracidovorax anthurii	strain=type strain: CIP107058	CIP107058T	latest	Scaffold	Major	Full	2025-02-13	CIP107058T	Collection de l'Institut Pasteur	GCF_965137865.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/137/865/GCA_965137865.1_CIP107058T	na	assembly from type material	na	haploid	bacteria	5441997	5438937	69.000000	0	428	428	Collection de l'Institut Pasteur	Annotation submitted by Collection de l'Institut Pasteur	2025-02-12	4757	4691	60	na
GCA_965135995.1	PRJEB85433	SAMEA117660340	CBCRYT000000000.1	na	78544	78544	Pseudomonas gessardii	strain=type strain: CIP105469	CIP105469T	latest	Scaffold	Major	Full	2025-02-12	CIP105469T	Collection de l'Institut Pasteur	GCF_965135995.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/135/995/GCA_965135995.1_CIP105469T	na	assembly from type material	na	haploid	bacteria	6490542	6490136	60.500000	0	201	201	Collection de l'Institut Pasteur	Annotation submitted by Collection de l'Institut Pasteur	2025-02-11	5919	5810	101	na
GCA_965137375.1	PRJEB85433	SAMEA117660375	CBCRZV000000000.1	na	82348	82348	Streptococcus pluranimalium	strain=type strain: CIP106120	CIP106120T	latest	Scaffold	Major	Full	2025-02-12	CIP106120T	Collection de l'Institut Pasteur	GCF_965137375.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/137/375/GCA_965137375.1_CIP106120T	na	assembly from type material	na	haploid	bacteria	2116788	2116677	38.500000	0	216	216	Collection de l'Institut Pasteur	Annotation submitted by Collection de l'Institut Pasteur	2025-02-11	2200	2079	78	na
GCA_965139275.1	PRJEB85433	SAMEA117660449	CBCSLE000000000.1	na	83462	83462	Corallococcus exiguus	strain=type strain: CIP109129	CIP109129T	latest	Scaffold	Major	Full	2025-02-13	CIP109129T	Collection de l'Institut Pasteur	GCF_965139275.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/139/275/GCA_965139275.1_CIP109129T	na	assembly from type material	na	haploid	bacteria	10408558	10408170	69.500000	0	366	366	Collection de l'Institut Pasteur	Annotation submitted by Collection de l'Institut Pasteur	2025-02-13	8521	8439	72	na
GCA_965136305.1	PRJEB85433	SAMEA117660333	CBCRTE000000000.1	na	84109	84109	Slackia exigua	strain=type strain: CIP105133	CIP105133T	latest	Scaffold	Major	Full	2025-02-10	CIP105133T	Collection de l'Institut Pasteur	GCF_965136305.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/136/305/GCA_965136305.1_CIP105133T	na	assembly from type material	na	haploid	bacteria	2081096	2081010	62.000000	0	21	21	Collection de l'Institut Pasteur	Annotation submitted by Collection de l'Institut Pasteur	2025-02-10	1773	1716	57	na
GCA_965136725.1	PRJEB85433	SAMEA117660391	CBCRXS000000000.1	na	85044	85044	Williamsia muralis	strain=type strain: CIP106979	CIP106979T	latest	Scaffold	Major	Full	2025-02-12	CIP106979T	Collection de l'Institut Pasteur	GCF_965136725.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/136/725/GCA_965136725.1_CIP106979T	na	assembly from type material	na	haploid	bacteria	5668912	5668817	64.500000	0	37	37	Collection de l'Institut Pasteur	Annotation submitted by Collection de l'Institut Pasteur	2025-02-11	5350	5286	57	na
GCA_965135715.1	PRJEB85433	SAMEA117660307	CBCRTP000000000.1	na	91352	198	Campylobacter hyointestinalis subsp. hyointestinalis	strain=type strain: CIP103746	CIP103746T	latest	Scaffold	Major	Full	2025-02-10	CIP103746T	Collection de l'Institut Pasteur	GCF_965135715.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/135/715/GCA_965135715.1_CIP103746T	na	assembly from type material	na	haploid	bacteria	1725386	1725363	34.000000	0	36	36	Collection de l'Institut Pasteur	Annotation submitted by Collection de l'Institut Pasteur	2025-02-10	1819	1761	50	na
GCA_965138295.1	PRJEB85433	SAMEA117660429	CBCSEH000000000.1	na	92172	92172	Vibrio aerogenes	strain=type strain: CIP108258	CIP108258T	latest	Scaffold	Major	Full	2025-02-13	CIP108258T	Collection de l'Institut Pasteur	GCF_965138295.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/138/295/GCA_965138295.1_CIP108258T	na	na	na	haploid	bacteria	5199055	5198050	46.000000	0	170	170	Collection de l'Institut Pasteur	Annotation submitted by Collection de l'Institut Pasteur	2025-02-12	4634	4517	113	na
GCA_965135645.1	PRJEB85433	SAMEA117660298	CBCRUG000000000.1	na	96345	96345	Flavobacterium psychrophilum	strain=type strain: CIP103534	CIP103534T	latest	Scaffold	Major	Full	2025-02-12	CIP103534T	Collection de l'Institut Pasteur	GCF_965135645.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/135/645/GCA_965135645.1_CIP103534T	na	assembly from type material	na	haploid	bacteria	2643607	2643514	32.500000	0	62	62	Collection de l'Institut Pasteur	Annotation submitted by Collection de l'Institut Pasteur	2025-02-11	2477	2324	149	na
GCA_965136895.1	PRJEB85433	SAMEA117660380	CBCRVQ000000000.1	na	97478	97478	Limosilactobacillus mucosae	strain=type strain: CIP106485	CIP106485T	latest	Scaffold	Major	Full	2025-02-12	CIP106485T	Collection de l'Institut Pasteur	GCF_965136895.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/136/895/GCA_965136895.1_CIP106485T	na	assembly from type material	na	haploid	bacteria	2279096	2278685	46.500000	0	47	47	Collection de l'Institut Pasteur	Annotation submitted by Collection de l'Institut Pasteur	2025-02-11	2121	2033	87	na
GCA_965138675.1	PRJEB85433	SAMEA117660422	CBCSET000000000.1	na	101564	101564	Ectopseudomonas alcaliphila	strain=type strain: CIP108031	CIP108031T	latest	Scaffold	Major	Full	2025-02-13	CIP108031T	Collection de l'Institut Pasteur	GCF_965138675.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/138/675/GCA_965138675.1_CIP108031T	na	na	na	haploid	bacteria	5327796	5327708	63.000000	0	24	24	Collection de l'Institut Pasteur	Annotation submitted by Collection de l'Institut Pasteur	2025-02-12	5018	4915	98	na
GCA_965136765.1	PRJEB85433	SAMEA117660396	CBCRZK000000000.1	na	101571	101571	Burkholderia ubonensis	strain=type strain: CIP107078	CIP107078T	latest	Scaffold	Major	Full	2025-02-12	CIP107078T	Collection de l'Institut Pasteur	GCF_965136765.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/136/765/GCA_965136765.1_CIP107078T	na	assembly from type material	na	haploid	bacteria	7750385	7750177	67.500000	0	69	69	Collection de l'Institut Pasteur	Annotation submitted by Collection de l'Institut Pasteur	2025-02-11	6863	6761	98	na
GCA_965138935.1	PRJEB85433	SAMEA117660721	CBCSFU000000000.1	na	105751	105751	Aeromonas bestiarum	strain=type strain: CIP74.30	CIP74.30T	latest	Scaffold	Major	Full	2025-02-13	CIP74.30T	Collection de l'Institut Pasteur	GCF_965138935.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/138/935/GCA_965138935.1_CIP74.30T	na	assembly from type material	na	haploid	bacteria	4697648	4697294	60.500000	0	44	44	Collection de l'Institut Pasteur	Annotation submitted by Collection de l'Institut Pasteur	2025-02-12	4277	4159	116	na
GCA_965136405.1	PRJEB85433	SAMEA117660339	CBCRUA000000000.1	na	108486	108486	Corynebacterium falsenii	strain=type strain: CIP105466	CIP105466T	latest	Scaffold	Major	Full	2025-02-12	CIP105466T	Collection de l'Institut Pasteur	GCF_965136405.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/136/405/GCA_965136405.1_CIP105466T	na	assembly from type material	na	haploid	bacteria	2656134	2656046	63.000000	0	56	56	Collection de l'Institut Pasteur	Annotation submitted by Collection de l'Institut Pasteur	2025-02-11	2355	2295	59	na
GCA_965139535.1	PRJEB85433	SAMEA117660418	CBCSFO000000000.1	na	110845	110845	Phocicoccus pinnipedialis	strain=type strain: CIP107946	CIP107946T	latest	Scaffold	Major	Full	2025-02-13	CIP107946T	Collection de l'Institut Pasteur	GCF_965139535.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/139/535/GCA_965139535.1_CIP107946T	na	assembly from type material	na	haploid	bacteria	1545238	1545146	36.500000	0	11	11	Collection de l'Institut Pasteur	Annotation submitted by Collection de l'Institut Pasteur	2025-02-12	1619	1557	62	na
GCA_965137455.1	PRJEB85433	SAMEA117660404	CBCSDT000000000.1	na	117567	117567	Mycolicibacterium frederiksbergense	strain=type strain: CIP107205	CIP107205T	latest	Scaffold	Major	Full	2025-02-13	CIP107205T	Collection de l'Institut Pasteur	GCF_965137455.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/137/455/GCA_965137455.1_CIP107205T	na	assembly from type material	na	haploid	bacteria	6399044	6397701	67.000000	0	199	199	Collection de l'Institut Pasteur	Annotation submitted by Collection de l'Institut Pasteur	2025-02-12	6223	6128	73	na
GCA_965137405.1	PRJEB85433	SAMEA117660382	CBCRYB000000000.1	na	120370	120370	Vagococcus fessus	strain=type strain: CIP106499	CIP106499T	latest	Scaffold	Major	Full	2025-02-12	CIP106499T	Collection de l'Institut Pasteur	GCF_965137405.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/137/405/GCA_965137405.1_CIP106499T	na	assembly from type material	na	haploid	bacteria	2263591	2262965	35.500000	0	30	30	Collection de l'Institut Pasteur	Annotation submitted by Collection de l'Institut Pasteur	2025-02-11	2223	2144	79	na
GCA_965137475.1	PRJEB85433	SAMEA117660407	CBCRYU000000000.1	na	137591	137591	Weissella cibaria	strain=type strain: CIP107376	CIP107376T	latest	Scaffold	Major	Full	2025-02-12	CIP107376T	Collection de l'Institut Pasteur	GCF_965137475.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/137/475/GCA_965137475.1_CIP107376T	na	na	na	haploid	bacteria	2322316	2322236	45.000000	0	28	28	Collection de l'Institut Pasteur	Annotation submitted by Collection de l'Institut Pasteur	2025-02-11	2215	2124	89	na
GCA_001245615.1	PRJEB9831	SAMEA3481574	CWKH00000000.1	reference genome	146018	146018	Mycolicibacterium neworleansense	strain=type strain: ATCC 49404	na	latest	Contig	Major	Full	2015-07-26	Mycobacterium neworleansense assembly 1	URMITE	GCF_001245615.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/245/615/GCA_001245615.1_Mycobacterium_neworleansense_assembly_1	na	assembly from type material	na	haploid	bacteria	6287317	6287317	67.000000	0	9	9	URMITE	Annotation submitted by URMITE	2015-07-26	6086	5997	89	na
GCA_900078665.2	PRJEB13221	SAMEA3913388	FJVO00000000.1	na	146021	146021	Mycolicibacterium houstonense	strain=type strain: ATCC 49403	na	latest	Scaffold	Major	Full	2016-04-02	PRJEB13221	URMITE	GCF_900078665.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/078/665/GCA_900078665.2_PRJEB13221	na	assembly from type material	na	haploid	bacteria	6451811	6383932	67.000000	0	27	197	na	na		0	0	0	na
GCA_965137485.1	PRJEB85433	SAMEA117660409	CBCSAO000000000.1	na	146919	146919	Salinibacter ruber	strain=type strain: CIP107417	CIP107417T	latest	Scaffold	Major	Full	2025-02-12	CIP107417T	Collection de l'Institut Pasteur	GCF_965137485.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/137/485/GCA_965137485.1_CIP107417T	na	na	na	haploid	bacteria	3576335	3576132	66.000000	0	129	129	Collection de l'Institut Pasteur	Annotation submitted by Collection de l'Institut Pasteur	2025-02-11	3075	3020	53	na
GCA_965138685.1	PRJEB85433	SAMEA117660424	CBCSFT000000000.1	na	147645	147645	Paracoccus yeei	strain=type strain: CIP108092	CIP108092T	latest	Scaffold	Major	Full	2025-02-13	CIP108092T	Collection de l'Institut Pasteur	GCF_965138685.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/138/685/GCA_965138685.1_CIP108092T	na	na	na	haploid	bacteria	4427875	4427580	67.500000	0	183	183	Collection de l'Institut Pasteur	Annotation submitted by Collection de l'Institut Pasteur	2025-02-12	4237	4169	56	na
GCA_965139875.1	PRJEB85433	SAMEA117660413	CBCSIB000000000.1	na	148453	148453	Lacicoccus alkaliphilus	strain=type strain: CIP107622	CIP107622T	latest	Scaffold	Major	Full	2025-02-13	CIP107622T	Collection de l'Institut Pasteur	GCF_965139875.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/139/875/GCA_965139875.1_CIP107622T	na	na	na	haploid	bacteria	2516207	2515757	48.000000	0	21	21	Collection de l'Institut Pasteur	Annotation submitted by Collection de l'Institut Pasteur	2025-02-12	2581	2514	66	na
GCA_965139845.1	PRJEB85433	SAMEA117660408	CBCSKC000000000.1	na	150120	150120	Shewanella livingstonensis	strain=type strain: CIP107390	CIP107390T	latest	Scaffold	Major	Full	2025-02-13	CIP107390T	Collection de l'Institut Pasteur	GCF_965139845.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/139/845/GCA_965139845.1_CIP107390T	na	na	na	haploid	bacteria	4720289	4719326	41.000000	0	135	135	Collection de l'Institut Pasteur	Annotation submitted by Collection de l'Institut Pasteur	2025-02-12	4205	4109	88	na
GCA_965137465.1	PRJEB85433	SAMEA117660405	CBCSCM000000000.1	na	152480	152480	Burkholderia ambifaria	strain=type strain: CIP107266	CIP107266T	latest	Scaffold	Major	Full	2025-02-13	CIP107266T	Collection de l'Institut Pasteur	GCF_965137465.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/137/465/GCA_965137465.1_CIP107266T	na	na	na	haploid	bacteria	7487213	7486839	67.000000	0	57	57	Collection de l'Institut Pasteur	Annotation submitted by Collection de l'Institut Pasteur	2025-02-12	6682	6586	94	na
GCA_900489835.1	PRJEB25868	SAMEA4644771	UEGI00000000.1	na	153266	153266	Aequorivita antarctica	strain=type strain: CIP107457	na	latest	Contig	Major	Full	2018-06-29	Aequorivita CIP107457T annotated assembly	INSTITUT PASTEUR	GCF_900489835.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/489/835/GCA_900489835.1_Aequorivita_CIP107457T_annotated_assembly	na	na	na	haploid	bacteria	3803249	3803249	37.500000	0	50	50	INSTITUT PASTEUR	Annotation submitted by INSTITUT PASTEUR	2018-06-29	3535	3497	38	na
GCA_900489485.1	PRJEB25868	SAMEA4644770	UEFO00000000.1	na	153267	153267	Aequorivita lipolytica	strain=type strain: CIP107455	na	latest	Scaffold	Major	Full	2018-06-29	Aequorivita CIP107455T annotated assembly	INSTITUT PASTEUR	GCF_900489485.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/489/485/GCA_900489485.1_Aequorivita_CIP107455T_annotated_assembly	na	na	na	haploid	bacteria	3305581	3305561	37.500000	0	39	39	INSTITUT PASTEUR	Annotation submitted by INSTITUT PASTEUR	2018-06-29	3076	3038	38	na
GCA_965137495.1	PRJEB85433	SAMEA117660411	CBCRZQ000000000.1	na	153267	153267	Aequorivita lipolytica	strain=type strain: CIP107455	CIP107455T	latest	Scaffold	Major	Full	2025-02-12	CIP107455T	Collection de l'Institut Pasteur	GCF_965137495.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/137/495/GCA_965137495.1_CIP107455T	na	na	na	haploid	bacteria	3308791	3308583	37.500000	0	39	39	Collection de l'Institut Pasteur	Annotation submitted by Collection de l'Institut Pasteur	2025-02-11	3088	3041	45	na
GCA_965139855.1	PRJEB85433	SAMEA117660406	CBCSJY000000000.1	na	153622	153622	Vibrio agarivorans	strain=type strain: CIP107301	CIP107301T	latest	Scaffold	Major	Full	2025-02-13	CIP107301T	Collection de l'Institut Pasteur	GCF_965139855.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/139/855/GCA_965139855.1_CIP107301T	na	na	na	haploid	bacteria	4669692	4669682	45.500000	0	61	61	Collection de l'Institut Pasteur	Annotation submitted by Collection de l'Institut Pasteur	2025-02-12	4265	4157	105	na
GCA_965139825.1	PRJEB85433	SAMEA117660419	CBCSHX000000000.1	na	157227	157227	Jeotgalicoccus halotolerans	strain=type strain: CIP107958	CIP107958T	latest	Contig	Major	Full	2025-02-13	CIP107958T	Collection de l'Institut Pasteur	GCF_965139825.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/139/825/GCA_965139825.1_CIP107958T	na	assembly from type material	na	haploid	bacteria	2233649	2233649	41.000000	0	24	24	Collection de l'Institut Pasteur	Annotation submitted by Collection de l'Institut Pasteur	2025-02-12	2322	2259	62	na
GCA_965136775.1	PRJEB85433	SAMEA117660397	CBCRZP000000000.1	na	164546	164546	Cupriavidus taiwanensis	strain=type strain: CIP107171	CIP107171T	latest	Scaffold	Major	Full	2025-02-12	CIP107171T	Collection de l'Institut Pasteur	GCF_965136775.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/136/775/GCA_965136775.1_CIP107171T	na	assembly from type material	na	haploid	bacteria	6358473	6358366	67.000000	0	194	194	Collection de l'Institut Pasteur	Annotation submitted by Collection de l'Institut Pasteur	2025-02-11	5730	5650	74	na
GCA_965136475.1	PRJEB85433	SAMEA117660431	CBCRWR000000000.1	na	170651	170651	Vibrio neptunius	strain=type strain: CIP108274	CIP108274T	latest	Scaffold	Major	Full	2025-02-12	CIP108274T	Collection de l'Institut Pasteur	GCF_965136475.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/136/475/GCA_965136475.1_CIP108274T	na	na	na	haploid	bacteria	5134548	5133552	45.500000	0	125	125	Collection de l'Institut Pasteur	Annotation submitted by Collection de l'Institut Pasteur	2025-02-11	4822	4697	119	na
GCA_965137435.1	PRJEB85433	SAMEA117660388	CBCSBE000000000.1	na	173959	173959	Brevibacillus invocatus	strain=type strain: CIP106911	CIP106911T	latest	Scaffold	Major	Full	2025-02-13	CIP106911T	Collection de l'Institut Pasteur	GCF_965137435.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/137/435/GCA_965137435.1_CIP106911T	na	assembly from type material	na	haploid	bacteria	4765829	4765726	49.000000	0	87	87	Collection de l'Institut Pasteur	Annotation submitted by Collection de l'Institut Pasteur	2025-02-12	4924	4790	121	na
